codigo,secao,tematica,pergunta,respostas
2.1,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,Escolaridade,
2.1 (a),SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,Nível de ensino,
2.1 (b),SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,situação atual,completo; incompleto; em curso; Não se aplica; outros [texto]
2.2,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,Qual o seu estado civil,"casada/o; solteira/o; amigada/união estável/ mora junto; separada/o; viúva/o; outras; Família, Casa e Quintal; Família"
2.4,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,Em quais dos grupos você e os membros da sua família se identifica e/ou faz parte?,"pescadores artesanais e/ou marisqueiras; extrativista (que tira os produtos do mar, mangue e das matas); indígena; agricultores familiares (que cultivam roças); quilombola; assentados da reforma agrária; outras (qual? [texto]); Acesso a políticas públicas"
2.5,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,Quantas pessoas residem na sua casa, incluindo você? (marque o número de pessoas por faixa etária),"Matriz de respostas. Colunas (IDADE): 1; 2; 3; 4; 5 ou mais. Linhas: Idosos (60 anos ou mais); Jovens e adultos (entre 18 e 60 anos); Crianças e adolescentes (menos de 18 anos)"
2.6,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,"Você tem acesso a quais políticas públicas atualmente? (inclusive pela Colônia, Associação, sindicato, etc.)",Inscritos no Cadastro Único (Cad-Único); PAA - Programa de Aquisição de Alimentos; PNAE – Programa Nacional de Alimentação Escolar; ATER - Assistência Técnica Rural; Programas de fomento do governo (crédito); PRONAF - Programa Nacional da Agricultura Familiar; Nenhuma; Outras
2.7,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,"Alguém da sua família tem acesso a algum dos seguintes programas, auxílios ou benefícios sociais?",Carteira de Pescador (RGP); Programa Bolsa Família; Aposentadoria; Benefícios de Prestação Continuada – BPC; Programa Bolsa Verde; Auxílio doença; Auxílio acidente; Nenhum; Outros
2.8,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,Você conhece ações por Políticas Públicas específicas para mulheres,de identidade (como profissionais da pesca); saúde; ampliação do seguro defeso; licença maternidade; outras [texto]; Casa
2.9,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,"Na cozinha, o fogão usa botijão e/ou lenha?",botijão de gás; lenha; outros
2.10,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,Tem geladeira/freezer funcionando na residência?,"Sim, sempre ligada; Sim, apenas parte do tempo ligada; Não, não tenho geladeira funcionando; Outra (qual?) [texto]"
2.11,SEÇÃO 2 - CARACTERÍSTICAS SOCIOECONÔMICAS,Sociodemográfico,"Os alimentos que você e sua família retiram da pesca, representam quanto do total de alimentos que vocês consomem por semana?",quase tudo (75 a 100%); grande parte (50 a 75%); até a metade (25 a 50%); menor parte (até 25%); nada

